date,product_type,price_per_ton,volume,destination_country,market_indicator
2023-12-13,OLIVE_OIL,"3683,22","96,31",Germany,FALLING
2024-06-19,OLIVE_OIL,"3903,37","105,32",Germany,RISING
2025-02-21,WHEAT,"856,58","187,90",Germany,FALLING
2025-08-28,WHEAT,"777,31","76,61",France,VOLATILE
2023-12-05,DATES,"2825,97","75,83",France,UNPREDICTABLE
2023-03-21,CITRUS_FRUITS,"1285,52","137,00",France,STABLE
2023-09-15,DATES,"2357,92","172,67",Germany,STABLE
2023-04-19,OLIVE_OIL,"3713,41","122,09",Germany,VOLATILE
2023-04-22,CITRUS_FRUITS,"1410,25","145,50",Germany,VOLATILE
2025-04-20,DATES,"2434,66","118,60",Germany,FALLING
2025-11-22,CITRUS_FRUITS,"1413,66","72,65",France,UNPREDICTABLE
2023-09-26,WHEAT,"756,11","79,39",Germany,FALLING
2024-12-13,DATES,"2486,59","113,15",France,UNPREDICTABLE
2022-12-26,CITRUS_FRUITS,"1157,66","135,74",Germany,UNPREDICTABLE
2024-04-13,OLIVE_OIL,"3805,73","142,43",Germany,UNPREDICTABLE
2025-07-16,OLIVE_OIL,"3908,61","79,42",France,FALLING
2023-05-22,WHEAT,"792,68","95,84",France,FALLING
2023-10-14,CITRUS_FRUITS,"1063,13","124,60",Germany,FALLING
2025-11-21,DATES,"2483,84","148,26",Germany,STABLE
2024-10-05,OLIVE_OIL,"3384,61","146,93",France,VOLATILE
2023-10-25,DATES,"2598,84","196,41",Germany,UNPREDICTABLE
2025-04-16,DATES,"2278,82","184,88",Germany,VOLATILE
2023-07-10,DATES,"2332,32","97,27",Germany,UNPREDICTABLE
2022-12-30,DATES,"2745,15","75,63",France,FALLING
2024-12-08,WHEAT,"718,59","54,05",France,UNPREDICTABLE
2024-05-02,DATES,"2967,50","185,68",Germany,VOLATILE
2024-11-18,OLIVE_OIL,"3809,59","128,22",France,STABLE
2024-11-24,DATES,"2688,25","133,46",Germany,FALLING
