Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2000","2000","t","22411","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2000","2000","1000 USD","38590","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2001","2001","t","47043","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2001","2001","1000 USD","73412","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2002","2002","t","41890","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2002","2002","1000 USD","68621","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2003","2003","t","37079","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2003","2003","1000 USD","73921","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2004","2004","t","40432","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2004","2004","1000 USD","84382","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2005","2005","t","50163","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2005","2005","1000 USD","100771","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2006","2006","t","42764","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2006","2006","1000 USD","91563","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2007","2007","t","68856","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2007","2007","1000 USD","164759","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2008","2008","t","69485","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2008","2008","1000 USD","170388","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2009","2009","t","77254","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2009","2009","1000 USD","176280","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2010","2010","t","84282","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2010","2010","1000 USD","200091","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2011","2011","t","86910","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2011","2011","1000 USD","211451","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2012","2012","t","101119","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2012","2012","1000 USD","220624","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2013","2013","t","105803","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2013","2013","1000 USD","233962","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2014","2014","t","87125.33","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2014","2014","1000 USD","229118","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2015","2015","t","103061.7","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2015","2015","1000 USD","227010","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2016","2016","t","113794.22","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2016","2016","1000 USD","226612","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2017","2017","t","104357.27","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2017","2017","1000 USD","229990","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2018","2018","t","124019.38","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2018","2018","1000 USD","281792","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2019","2019","t","113886.6","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2019","2019","1000 USD","265775","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2020","2020","t","109267.06","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2020","2020","1000 USD","262340","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2021","2021","t","119820.32","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2021","2021","1000 USD","256441","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2022","2022","t","130307.3","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2022","2022","1000 USD","244751","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","01314","Dates","2023","2023","t","129860.59","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","01314","Dates","2023","2023","1000 USD","252358","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2000","2000","t","113863","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2000","2000","1000 USD","193023","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2001","2001","t","94529","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2001","2001","1000 USD","139201","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2002","2002","t","22502","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2002","2002","1000 USD","39268","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2003","2003","t","39876","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2003","2003","1000 USD","88793","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2004","2004","t","211175","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2004","2004","1000 USD","568625","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2005","2005","t","109371","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2005","2005","1000 USD","367929","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2006","2006","t","272805","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2006","2006","1000 USD","937854","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2007","2007","t","172613","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2007","2007","1000 USD","543502","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2008","2008","t","169039","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2008","2008","1000 USD","618106","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2009","2009","t","141688","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2009","2009","1000 USD","395544","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2010","2010","t","108772","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2010","2010","1000 USD","309316","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2011","2011","t","100294","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2011","2011","1000 USD","285866","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2012","2012","t","153175","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2012","2012","1000 USD","375221","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2013","2013","t","151035","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2013","2013","1000 USD","504581","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2014","2014","t","93330.77","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2014","2014","1000 USD","285697","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2015","2015","t","288458.36","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2015","2015","1000 USD","948587","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5910","Export quantity","2167","Olive oil","2016","2016","t","107955.04","A","Official figure",""
"TCL","Crops and livestock products","788","Tunisia","5922","Export value","2167","Olive oil","2016","2016","1000 USD","402454","A","Official figure",""
